product_id,title,product_url,price_current,price_old,currency,on_sale,in_stock,category,collection,image_url
32374,БОДИ / LEVITATE,https://nikifilinistore.ru/product/bodi-levitate/,3534.0,5890.0,RUB,True,False,Custom,,
32422,ЛОНГСЛИВ / BLOOD,https://nikifilinistore.ru/product/longsliv-blood/,3534.0,5890.0,RUB,True,True,Лонгсливы,Japanese Mood,
32410,ЛОНГСЛИВ / KING VAMPIRE,https://nikifilinistore.ru/product/longsliv-king-vampire/,3534.0,5890.0,RUB,True,True,Лонгсливы,Japanese Mood,
32458,ФУТБОЛКА / DRACULA,https://nikifilinistore.ru/product/futbolka-dracula/,2490.0,4150.0,RUB,True,True,Футболки,Japanese Mood,
32362,ФУТБОЛКА / GHOST,https://nikifilinistore.ru/product/futbolka-ghost/,3534.0,5890.0,RUB,True,False,Футболки,,
32350,ФУТБОЛКА / INTEGRA,https://nikifilinistore.ru/product/futbolka-integra/,2910.0,4850.0,RUB,True,True,Футболки,Japanese Mood,
32446,ФУТБОЛКА / NOSFERATU,https://nikifilinistore.ru/product/futbolka-nosferatu/,3060.0,5100.0,RUB,True,True,Футболки,Japanese Mood,
32434,ФУТБОЛКА / VICTORIA,https://nikifilinistore.ru/product/futbolka-victoria/,3534.0,5890.0,RUB,True,True,Футболки,Japanese Mood,
32398,ШТАНЫ / DRACULA,https://nikifilinistore.ru/product/shtany-dracula/,5694.0,9490.0,RUB,True,True,Другое,Japanese Mood,
32386,ШТАНЫ / GHOST TYPE,https://nikifilinistore.ru/product/shtany-ghost-type/,4283.0,7139.0,RUB,True,True,Custom,,
32155,ФУТБОЛКА / CONTROL DEVIL,https://nikifilinistore.ru/product/futbolka-control-devil/,4194.0,6990.0,RUB,True,True,Футболки,,
32167,ФУТБОЛКА / CURSE,https://nikifilinistore.ru/product/futbolka-curse/,4194.0,6990.0,RUB,True,True,Футболки,,
32143,ФУТБОЛКА / YUNO,https://nikifilinistore.ru/product/futbolka-yuno/,4194.0,6990.0,RUB,True,True,Футболки,,
31548,ХУДИ / KING 2002,https://nikifilinistore.ru/product/hudi-king-2002/,12490.0,,RUB,False,False,Другое,,
31712,ЛОНГСЛИВ / DARK TRIBAL,https://nikifilinistore.ru/product/longsliv-dark-tribal/,3810.0,6350.0,RUB,True,True,Лонгсливы,,
31377,ЛОНГСЛИВ КАСТОМ / HUNTER,https://nikifilinistore.ru/product/longsliv-kastom-hunter/,5214.0,8690.0,RUB,True,True,Лонгсливы,Japanese Mood,
31736,ФУТБОЛКА / DARK TRIBAL,https://nikifilinistore.ru/product/futbolka-dark-tribal/,2790.0,4650.0,RUB,True,True,Футболки,,
31724,ФУТБОЛКА / HU$$$TLER COLOR,https://nikifilinistore.ru/product/futbolka-hutler-color/,4194.0,6990.0,RUB,True,True,Футболки,,
31700,ФУТБОЛКА / OPPAI COLOR,https://nikifilinistore.ru/product/futbolka-oppai-color/,2790.0,4650.0,RUB,True,True,Футболки,,
