mentor_id,slug,profile_url,name,title,company,city,timezone,price,currency,reviews_count,sessions_count,categories,skills
1890,n_ashanin,https://solvery.io/ru/mentor/n_ashanin,Николай Ашанин,co-founder & CTO ,Sprouty AI,Санкт-Петербург,Europe/Moscow,14582,rub,0,7,,"Управление командой, Software Engineering, Мотивация команды, Software Architecture, Управление организационными изменениями"
1033,aleksandrvasilev,https://solvery.io/ru/mentor/aleksandrvasilev,Александр Васильев,🚀 Head of Data Science | Карьерный коуч (ICF),Crimtan.com,Санкт-Петербург,Europe/Brussels,14582,rub,3,20,,"Управление командой, Data Science, Машинное обучение, Прохождение собеседований, Мотивация команды, Распределённая команда, Развитие карьеры, Управление ИТ, Карьера: Поиск работы, Карьера: Составление резюме, Карьера: Релокейт, Коучинг, Коучинг: лайф-коучинг, Коучинг: бизнес-коучинг, Коучинг: целеполагание, Стратегическое планирование, Развитие soft skills, People management, Найм команды, Переговоры, Бизнес-процессы, Стратегическое управление, Масштабирование команды, ИИ/AI, настройка процессов в команде, Карьерное консультирование, Релокация, Позиционирование на рынке, Трудоустройство в зарубежные компании"
134,ivan_tolstov,https://solvery.io/ru/mentor/ivan_tolstov,Иван Толстов,Staff/Senior Software Engineer,Suki AI inc.,Сан-Франциско,America/Denver,14582,rub,0,49,,"Управление командой, Управление продуктом, Фронтенд, HTML, CSS, JavaScript, SVG, Canvas, React, Redux, Node.js, Express, TypeScript, Интерфейсы, Module architecture, БЭМ, Кроссбраузерная оптимизаци, Mobile first, UI kit, Cross-Platform, Процессы разработки и тестирования, Прохождение собеседований, Gitflow, Верстка, Анимации JS, Electron, ESLint, WebdriverIO, Развитие карьеры, HealthTech, Карьера: Поиск работы, Карьера: Составление резюме, Карьера: Linkedin, Карьера: Релокейт, Tailwind, ИИ/AI"
29005,sabbakumov,https://solvery.io/ru/mentor/sabbakumov,Семен Аббакумов,Ecommerce Директор,Тануки,Москва,Europe/Moscow,14582,rub,0,0,,"Управление проектами, Управление командой, Маркетинг, Customer Journey Map, Архитектура процессов, Финансовое моделирование, Стартапы: запуск, FoodTech, Карьера: Поиск работы, Коучинг, Стратегическое планирование, SWOT, SMART Цели, UX: юзабилити аудит, People management, Организационная структура, Бизнес-процессы, Децентрализованные организации, Стратегическое управление, Brand-management, Фасилитация, Масштабирование команды, Брэнд-менеджмент , Клиентский Сервис, Маркетплейсы, настройка процессов в команде, Avito, Подбор экспертов, Прототипирование, Ценностное предложение, Финансовый анализ, Delivery managment, Оценка эффективности организации, Карьерное консультирование, Оценка рынка, Trade маркетинг, Юзабилити аудит, Коммуникационная стратегия, Запуск стартапов, Упаковка проекта"
5361,jjkaate,https://solvery.io/ru/mentor/jjkaate,Александр Шурлыгин,Head of Design и карьерный ментор,Vk Video,Санкт-Петербург,Europe/Moscow,14582,rub,0,18,,"Управление командой, Управление продуктом, Дизайн, Дизайн-стратегия, Прохождение собеседований, Карьера: Поиск работы, Карьера: Составление резюме, Карьера: Linkedin, Стратегическое планирование, SMART Цели, Miro, UX: юзабилити аудит, Развитие soft skills, People management, Найм команды, Фасилитация, настройка процессов в команде, Карьерное консультирование, Использование ИИ"
28626,mnemchenko,https://solvery.io/ru/mentor/mnemchenko,Максим Немченко,Chief Solutions and Technology Architect,,Ереван,Asia/Yerevan,14582,rub,0,0,,"DevOps, Бэкенд, Управление командой, Базы данных, C#, Python, Git, SQL, Производительность, Clean Architecture, MVP, REST API, Module architecture, Docker, AWS, CD, CI, Машинное обучение, Rabbitmq, Microservices, Architecture, BigData, ETL, Перфоманс и скорость загрузки, Deploy, Scrum"
28419,,,Людмила Кожевникова,"Управляющий партнер, co-Founder",Aitronica,Москва,Europe/Moscow,14582,rub,0,0,,"Управление командой, Бизнес аналитика, Управление проектами, Процессы разработки и тестирования, Управление ИТ, Развитие soft skills, Бизнес-процессы, Нейросети, ChatGPT, Использование ИИ, AI-анализ"
21323,marina_feder,https://solvery.io/ru/mentor/marina_feder,Марина  Федер,Brand&Marketing Communication,WhiteLeo,Санкт-Петербург ,Etc/GMT,14582,rub,0,0,,"Управление командой, Управление продуктом, Маркетинг, Бренд-менеджмент, Маркетинговые исследования, Развитие личного бренда, Позиционирование на рынке, Трекшен проектов/стартапов, Коммуникационная стратегия, Запуск стартапов, Упаковка проекта, Привлечение инвестиций"
4659,imakarov,https://solvery.io/ru/mentor/imakarov,Игорь Макаров,Principal Product Manager,Navio,Москва,Europe/Moscow,14582,rub,8,25,,"Управление командой, Управление продуктом, Продуктовая аналитика, Продуктовые метрики, Продуктовая стратегия, Стартапы: запуск"
26889,yuriy_ostrikov,https://solvery.io/ru/mentor/yuriy_ostrikov,Юрий Остриков,Senior Product Manager,Авито,Москва,Europe/Moscow,14582,rub,0,0,,"Управление продуктом, Управление командой, Управление проектами, Tilda, Айдентика, Тайм-менеджмент, Продуктовая аналитика, Продуктовые метрики, Продуктовая стратегия, Тестирование продуктовых гипотез, Управление портфелем проектов, Управление ИТ, Трекшен проектов/стартапов, Финансовое моделирование, Growth hacking, Публичные выступления, Мотивация команды, Масштабирование команды, Распределённая команда, UX, Маркетинг: исследования, Маркетинговые исследования, Исследование и сегментация ЦА, Аналитика, Аналитика данных, Сегментация клиентов"
25971,aleksei_prikhodko,https://solvery.io/ru/mentor/aleksei_prikhodko,Алексей Приходько,Senior MLE,inworld.ai,Ванкувер,America/Vancouver,14582,rub,1,5,,"Data Science, Управление продуктом, Python, MVP, Машинное обучение, Deep Learning, NLP, Dialog systems, Chat bots, Pytorch, Transformers, ИИ/AI, Аналитика данных, large language model (LLM), LLM (large language models)"
8265,ozeranskii,https://solvery.io/ru/mentor/ozeranskii,Сергей Озеранский,Principal Engineer,EX CORP.,Валенсия,Europe/Madrid,14582,rub,0,2,,"DevOps, Бэкенд, Управление командой, MongoDB, PostgreSQL, Python, Clean Architecture, Docker, TDD, CI/CD, GitlabCI, DDD, GCP, Software Architecture, Kubernetes, Системное проектирование, Дизайн систем"
25684,alina_moroz,https://solvery.io/ru/mentor/alina_moroz,Алина Морозовская,Chief Product Officer,Product Sprint,Buenos Aires,America/Argentina/Buenos_Aires,14582,rub,0,0,,"Управление командой, Управление продуктом, Управление проектами, JTBD, MVP, Customer Journey Map, Kanban, Scrum, Customer development, CEO, CPO, Управление требованиями, Управление документацией, Jira, Развитие карьеры, Продуктовая стратегия, Стартапы: продвижение, Стартапы: запуск, User Story, Тестирование продуктовых гипотез, Маркетинг: персоны, Карьера: Поиск работы, SWOT, Бирюзовые организации, CJM, Исследование и сегментация ЦА, Сегментация клиентов, Senior Product Manager, Productboard"
